,user,text,favorite_count,retweet_count,created_at
65,iamsrk,Main waisee bhi Fan2 nahin banunga!!! Karle jo karna hai….ha ha https://t.co/ZdGSXeStYb,17548,1826,2023-02-14 07:42:20+00:00
66,iamsrk,Waiting to see Hrithik in Fighter….!!! https://t.co/HWJ5fLagCx,9756,1528,2023-02-14 07:40:28+00:00
67,iamsrk,Never…I feel God has been too kind to me. https://t.co/88TrklHxsZ,7330,1069,2023-02-14 07:39:25+00:00
68,iamsrk,Ha ha Toofan peeta hoon na..!!! https://t.co/tpzsR8Ew3V,7706,1308,2023-02-14 07:36:26+00:00
69,iamsrk,Give your mom my love and enjoy #Pathaan again https://t.co/LhgqmbyxhL,7502,1208,2023-02-14 07:35:34+00:00
70,iamsrk,Wish Ayushman the best for all his work and life. Dreamgirl looks very interesting. https://t.co/c999GwNSMF,10269,1715,2023-02-14 07:32:05+00:00
71,iamsrk,Deepika is love and too warm and beautiful. https://t.co/j3bCJgp5Sw,15341,1635,2023-02-14 07:29:16+00:00
72,iamsrk,Ha ha no he is the stylist!!!!! Ha ha https://t.co/4jU3Q9BW79,11706,1401,2023-02-14 07:27:41+00:00
73,iamsrk,You have already given it to me…so much love for #Pathaan https://t.co/dSRxMnLhF3,8994,1458,2023-02-14 07:26:47+00:00
74,iamsrk,Check and see na it’s my handwriting…..you can’t tell or what??!! https://t.co/aiUKZKKsrw,8424,1315,2023-02-14 07:25:25+00:00
75,iamsrk,Always the way the character will walk…. https://t.co/4EyzOMlX3G,7175,1231,2023-02-14 07:21:32+00:00
76,iamsrk,And rightly so…Aamir is awesome! https://t.co/Sp4lr2OrZH,9474,1344,2023-02-14 07:19:57+00:00
77,iamsrk,Nahi nahi kholna padhega…Dil. Dil khol ke dekhna https://t.co/iAheBTjqTL,8981,1482,2023-02-14 07:19:15+00:00
78,iamsrk,Will have to go back to Paris na for unfinished business….#Pathaan https://t.co/c3uQHoo78t,7122,1270,2023-02-14 07:17:09+00:00
79,iamsrk,As my baby Tiger Shroff famously said “ doosron ke aate nahi mere jaate nahin” ha ha https://t.co/s1IhmYF95O,11552,1793,2023-02-14 07:15:55+00:00
80,iamsrk,If I remember correctly it’s been what 34 years now….a pair of pink plastic earrings I think… https://t.co/pRY2jxl41B,12034,1598,2023-02-14 07:14:59+00:00
81,iamsrk,Fountainhead is good a difficult long read though…. https://t.co/o1VcOsDbVk,7336,1288,2023-02-14 07:13:56+00:00
82,iamsrk,Nahi ab khud hi pet bhara bhara sa lagta hai. https://t.co/43NkMYLzbp,6856,1197,2023-02-14 07:13:01+00:00
83,iamsrk,Zinda Hoon…!!! #Pathaan https://t.co/xUe4TRm0FV,9368,1477,2023-02-14 07:12:18+00:00
84,iamsrk,Bahut din ho gaye….hum kahan se kahan aa gaye….I think it’s only fair to do a bit of #AskSRK to update ourselves. Let’s keep the questions fun please….let’s start!,60228,4506,2023-02-14 07:11:13+00:00
